Artist Name,Real Name,City,Nicknames,Year,Groups,Discography,Artist Id
2 chainz,tauheed epps,atlanta,"tity boi, drenchgod",1997,playaz circle,"rap or go to the league, pretty girls like trap music, collegrove, b o a t s ii me time, based on a t r u story",1
21 savage,sheyaa bin abraham joseph,atlanta,21,2013,,"savage mode ii, i am i was, without warning, issa album, savage mode",2
2pac,tupac amaru shakur,oakland,"makaveli, mc new york",1987,"digital underground, outlawz, thug life","pacs life, loyal to the game, better dayz, until the end of time, r u still down remember me, the don killuminati the 7 day theory, all eyez on me, me against the world, strictly 4 my n i g g a z, 2pacalypse now",3
50 cent,curtis james jackson iii,new york city,ferrari f 50,1996,g unit,"animal ambition, before i self destruct, curtis, the massacre, get rich or die tryin",4
6ix9ine,daniel hernandez,new york city,"tekashi69, wallah dan",2012,scumgang,"tattletales, dummy boy",5
aesop rock,ian matthias bavitz,new york city,,1996,"the weatherman, the uncluded, hail mary mallon, malibu ken","the impossible kid, skelethon, none shall pass, bazooka tooth, labor days, float, music for earthworms",6
andy mineo,andrew aaron mineo,new york city,c lite,2001,116 clique,"uncomfortable, heroes for sale",7
asap rocky,rakim athelaston mayers,new york city,"asap rocky, rocky",2007,asap mob,"testing, at long last asap, long live asap",8
b o b,bobby ray simmons jr,atlanta,,2006,hustle gang,"somnia, southmatic, naga, the upside down, ether, underground luxury, strange clouds, b o b presents the adventures of bobby ray",9
big boi,antwan andre patton,atlanta,,1992,outkast,"boomiverse, big grams, vicious lies and dangerous rumors, sir lucious left foot the son of chico dusty",10
big daddy kane,antonio hardy,new york city,"b d k, dark gable, king asiatic nobodys equal, blackanova, count macula",1987,juice crew,"veteranz day, daddys home, looks like a job for, prince of darkness, taste of chocolate, its a big daddy thing, long live the kane",11
big l,lamont coleman,new york city,l corleone,1992,"children of the corn, diggin in the crates crew","the danger zone, return of the devils son, 139 lenox, the big picture, lifestylez ov da poor dangerous",12
big sean,sean michael leonard anderso,detroit,,2007,twenty88,"detroit 2, double or nothing, i decided, dark sky paradise, hall of fame, finally famous",13
busta rhymes,trevor george smith jr,new york city,busta busta,1989,"leaders of the new school, flipmode squad","year of the dragon, back on my b s, the big bang, it aint safe no more, genesis, anarchy, e l e extinction level event the final world front, when disaster strikes, the coming",14
cardi b,belcalis marlenis almanzar,new york city,,2015,,invasion of privacy,15
chamillionaire,hakeem temidayo seriki,houston,,1997,color changin click,"ultimate victory, the sound of revenge",16
chief keef,keith farrelle cozart,chicago,sosa,2011,glo gang,"dedication, bang 3, part 2, bang 3, part 1, finally rich",17
childish gambino,donald mckinley glover jr,atlanta,"childish, mcdj",2011,,"3 15 20, awaken, my love, because the internet, camp",18
common,lonnie rashid lynn,chicago,common sense,1991,"august greene, cocaine 80s, soulquarians","let love, black america again, nobodys smiling, the dreamer the believer, universal mind control, finding forever, be, electric circus, like water for chocolate, one day itll all make sense, resurrection, can i borrow a dollar",19
denzel curry,denzel rae don curry,miami,"aquariuskilla, raven miyagi, zeltron 6 billion, black metal terrorist, denny cascade, zel",2009,"raider klan, c9","unlocked, zuu, ta13oo, imperial, nostalgic 64",20
diddy,sean john combs,new york city,"puff daddy, diddy, puffy, diddy, brother love",1990,dirty money,"press play, the saga continues, forever, no way out",21
dmx,earl simmons,new york city,dark man x,1991,"murder inc, ruff ryders","redemption of the beast, undisputed, year of the dog again, grand champ, the great depression, and then there was x, flesh of my flesh, blood of my blood, its dark and hell is hot",22
dr dre,andre romelle young,los angeles,"brickhard, the mechanic",1985,"n w a, world class wreckin cru","compton, 2001, the chronic",23
drake,aubrey drake graham,toronto,"champagne papi, drizzy, 6 god",2001,,"scorpion, views, nothing was the same, take care, thank me later",24
e 40,earl t stevens,oakland,,1986,the click,"revenue retrievin overtime shift, revenue retrievin night shift, revenue retrievin day shift, the ball street journal, my ghetto report card, breakin news, grit grind, loyalty betrayal, charlie hustle the blueprint of a self made millionaire, the element of surprise, tha hall of game, in a major way, federal",25
earl sweatshirt,thebe neruda kgositsile,los angeles,"sly tendencies, randomblackdude, thebe kgositsile",2008,odd future,"doris, i dont like shit, i dont go outside, some rap songs",26
elzhi,jason powers,detroit,elzhi,1998,slum village,"lead poison, the preface",27
eminem,marshall bruce mathers iii,detroit,"slim shady, double m, m m",1988,"bad meets evil, d12, ","music to be murdered by, kamikaze, revival, the marshall mathers lp 2, recovery, relapse, encore, the eminem show, the marshall mathers lp, the slim shady lp, infinite",28
everlast,erik francis schrody,los angeles,whitey ford,1989,"house of pain, la coka nostra, ","whitey fords house of pain, the life acoustic, songs of the ungrateful living, love, war and the ghost of whitey ford, white trash beautiful, eat at whiteys, whitey ford sings the blues, forever everlasting",29
fabolous,john david jackson,new york city,fabolous sport,1998,street family,"summertime shootout 3 coldest summer ever, the young og project, losos way, from nothin to somethin, real talk, street dreams, ghetto fabolous",30
flo rida,tramar lacel dillard,miami,,2000,,"wild ones, only one flo part 1, r o o t s, mail on sunday",31
freddie gibbs,fredrick jamel tipton,gary,"kane, freddie kane",2004,madgibbs,"alfredo, bandana, freddie, you only live 2wice, shadow of a doubt, pinata, esgn",32
french montana,karim kharbouch,new york city,,2002,coke boys,"montana, jungle rules, excuse my french",33
ghostface killah,dennis coles,new york city,"ghostdini, ironman, tony starks, starky love, pretty toney, p tone",1991,"wu tang clan, theodore unit, czarface","ironman, supreme clientele, bulletproof wallets, the pretty toney album, fishscale, more fish, the big doe rehab, ghostdini wizard of poetry in emerald city, apollo kids, twelve reasons to die, 6 seasons, twelve reasons to die ii, ghostface killahs",34
gza,gary e grice,new york city,the genius,1990,wu tang clan,"words from the genius, liquid swords, beneath the surface, legend of the liquid sword, pro tools",35
